problem,planner,implementation,succeeded,collision_free,seconds,joint_length,tool_length,smoothness,min_clearance_m
1,joint interpolation,armik (python),True,False,0.0002,6.1724,0.8457,7.489e-31,0.0136
1,cartesian interpolation,armik (python),False,False,1.6981,,,,
1,rrt connect,armik (python),True,True,0.0564,6.4798,1.1721,8.056e-06,0.0872
1,pilz ptp,moveit (c++),True,False,0.0005,6.1724,0.8457,4.83e-31,0.0136
1,pilz lin,moveit (c++),False,False,0.0007,,,,
1,ompl rrtconnect,moveit (c++),True,False,0.0177,7.0901,2.3408,1.997e-05,0.1233
1,chomp,moveit (c++),True,True,0.3941,6.212,0.6925,1.911e-06,0.1118
1,stomp,moveit (c++),True,True,0.1428,6.224,0.8021,3.24e-07,0.1157
2,joint interpolation,armik (python),True,False,0.0001,4.5935,1.0286,4.731e-31,0.0114
2,cartesian interpolation,armik (python),False,False,1.6977,,,,
2,rrt connect,armik (python),True,True,0.0463,4.6541,1.18,1.317e-06,0.0616
2,pilz ptp,moveit (c++),True,False,0.0004,4.5935,1.0286,2.64e-31,0.0114
2,pilz lin,moveit (c++),False,False,0.0111,,,,
2,ompl rrtconnect,moveit (c++),True,True,0.0269,11.0079,4.2417,0.000431,0.0957
2,chomp,moveit (c++),True,True,0.388,4.692,1.0011,4.002e-06,0.0957
2,stomp,moveit (c++),True,True,0.115,4.6099,1.1082,1.724e-07,0.0657
3,joint interpolation,armik (python),True,False,0.0002,8.293,1.1286,8.269e-31,0.1596
3,cartesian interpolation,armik (python),False,False,1.7118,,,,
3,rrt connect,armik (python),True,True,0.0533,8.4222,0.8671,1.052e-05,0.1131
3,pilz ptp,moveit (c++),True,False,0.0004,8.293,1.1286,3.654e-31,0.1596
3,pilz lin,moveit (c++),False,False,0.0006,,,,
3,ompl rrtconnect,moveit (c++),True,True,0.0118,8.583,1.0657,1.881e-05,0.1273
3,chomp,moveit (c++),False,False,0.5945,,,,
3,stomp,moveit (c++),False,False,5.0011,,,,
4,joint interpolation,armik (python),True,False,0.0001,4.9439,0.5837,6.268e-31,0.0696
4,cartesian interpolation,armik (python),False,False,1.7251,,,,
4,rrt connect,armik (python),True,True,0.1841,9.2022,2.2653,0.0005993,0.0639
4,pilz ptp,moveit (c++),True,False,0.0003,4.9439,0.5837,3.601e-31,0.0696
4,pilz lin,moveit (c++),False,False,0.0006,,,,
4,ompl rrtconnect,moveit (c++),True,True,0.0284,8.2215,2.9687,0.0001344,0.0687
4,chomp,moveit (c++),False,False,0.5988,,,,
4,stomp,moveit (c++),True,True,0.2938,5.0086,0.6621,5.319e-07,0.0783
5,joint interpolation,armik (python),True,False,0.0001,6.0174,0.7468,7.64e-31,0.0801
5,cartesian interpolation,armik (python),False,False,1.7087,,,,
5,rrt connect,armik (python),True,True,0.0605,6.7394,0.7275,3.956e-05,0.0711
